DAUID,PCODE3
12170434,B1A
12170435,B1A
12170436,B1A
12170437,B1A
12170438,B1A
12170439,B1A
12170440,B1A
12170441,B1A
12170442,B1E
12170443,B1A
12170444,B1A
12170445,B1A
12170446,B1A
12170447,B1N
12170448,B1N
12170449,B1N
12170450,B1N
12170451,B1N
12170452,B1N
12170453,B1N
12170454,B1N
12170455,B1N
12170456,B1P
12170457,B1P
12170458,B1P
12170459,B1R
12170460,B1P
12170461,B1P
12170462,B1R
12170463,B1P
12170464,B1P
12170465,B1P
12170466,B1R
12170467,B1P
12170468,B1P
12170469,B1R
12170470,B1P
12170471,B1R
12170472,B1P
12170473,B1P
12170474,B1P
12170475,B1P
12170476,B2A
12170477,B1P
12170478,B1P
12170479,B1P
12170480,B1R
12170481,B1P
12170482,B1S
12170483,B1P
12170483,B1S
12170484,B1P
12170485,B1S
12170486,B1S
12170487,B1P
12170488,B1S
12170489,B1R
12170491,B1S
12170492,B1P
12170493,B1P
12170494,B1P
12170495,B1S
12170497,B1S
12170498,B1R
12170499,B1S
12170500,B1R
12170500,B1S
12170501,B1S
12170502,B1S
12170503,B1R
12170504,B1S
12170505,B1S
12170506,B1J
12170507,B1S
12170509,B1S
12170509,B1L
12170510,B1K
12170511,B1P
12170515,B1P
12170515,B1L
12170516,B1L
12170517,B1C
12170518,B1K
12170518,B1M
12170519,B1K
12170519,B1C
12170520,B1K
12170521,B1C
12170522,B1T
