"PCODE3","instability_DA06","deprivation_DA06","dependency_DA06","ethniccon_DA06","DAPop_2006","instability_q_DA06","deprivation_q_DA06","dependency_q_DA06","Ethniccon_q_DA06"
"N3B","-0.601535385540823067204864751520","-0.618121434504085941916544348920","0.013906256144148163115957223737","-0.534710172444033078423149507234","9538","1","2","2","1"
"N3C","-0.652365152831821171104666490904","-0.734319298570112713727041040513","-0.564207635633813684084717461991","0.016723672331478297914579488532","22758","1","2","1","2"
"N3H","0.095058080139122588928459201844","-0.187119902291954444820362417513","-0.108773536557511941489473132921","-0.301716262813646645333612653189","19094","2","3","2","1"
"N3L","-0.346265452242084803982633380646","-0.475333470206284950713868247474","0.182905146244992244585455456291","-0.540766915233512313100108541371","11977","2","3","2","1"
"N3P","-0.654105073185614025119099177133","-0.272572834947974754861411866609","-0.521723655494615132200086617583","0.189144430952257683683412732785","9236","1","3","1","2"
"N3R","-0.149510421633519982494761690051","-0.116534134170805494066785136461","0.412114641629914508320558045779","-0.293740297106760519115189772697","37703","2","3","2","1"
"N3S","0.419187696415551077205513784461","0.909111980549124432869674185464","-0.089803615448605489841269841270","-0.197420697243043700513784461153","23940","3","4","2","1"
"N3T","-0.029553588362458615358520968494","-0.107421691651416225666793876945","-0.246757287431521251036763770513","-0.190716908299783523334605436119","23583","2","3","2","1"
"N3W","-0.828032481189462587746441517107","-0.570557956097493366607726991424","-0.427964218900473546565290425250","-0.403445348479301251083016532579","11311","1","2","1","1"
"N3Y","-0.045766221649154295922491062639","0.163487587083461206044246412103","0.614791511305590774265582094192","-0.573271706129864983057872649086","19301","2","3","2","1"
"N4B","-0.161385022703016246576387564372","0.319557126168984824146481022315","0.706155388531828563417890520694","-0.666319318101209074384894144574","5243","2","3","2","1"
"N4G","-0.000752495701949171246565076193","-0.116547366048331135048713464901","0.827915474518298148366225331002","-0.547925936107080683456157881589","16012","2","3","2","1"
"N4K","0.236352824484376958905296602520","0.086738567683016533061342383652","0.458027851706100886337870527494","-0.459410446488068260446979817309","27697","2","3","2","1"
"N4L","0.033531313740829168795419511121","0.125601573423332908390222417970","1.090979896137450176392865007708","-0.575976337474853587535785069368","4541","2","3","3","1"
"N4N","0.194739491229198835766799948407","0.037586353062462118586353669547","0.802321098294377626596156326583","-0.617151769962986365884173868180","7753","2","3","2","1"
"N4S","-0.057498599463340742916828314781","-0.103688002743203911074636664777","0.152054687081920098152735086096","-0.393519921172270920801754752455","33509","2","3","2","1"
"N4T","-0.033843621180796345616856113113","-0.335486869518733368727474355420","0.113750935654005666648184086498","0.016938661926247549259772664264","3607","2","3","2","2"
"N4V","-0.073082687606175700000000000000","-0.794078448686292000000000000000","-0.209876061255761000000000000000","-0.384829554569594000000000000000","848","2","2","2","1"
"N4W","0.107490908311744711575562700965","-0.217397790609411853070739549839","0.416098693845824309099678456592","-0.593828471481924506430868167203","6220","2","3","2","1"
"N4X","-0.306835888958217582030255902729","-0.514490652972062024713699985862","0.364325259884434725293369150290","-0.592220480600225430934539799237","7073","2","2","2","1"
"N4Z","-0.160822388651893970705725699068","-0.344271130402512329227696404794","0.757431954826653835885486018642","-0.321060746683100175699067909454","3004","2","3","2","1"
"N5A","0.243828215624422610572895800707","-0.187994259225321637709873620570","0.013025951237402929143752048658","-0.510020271438854413686855810904","27457","2","3","2","1"
"N5C","-0.254732234820228183724489795918","-0.287552566137557623605442176871","-0.092440246335212666471088435374","-0.477298574074333957312925170068","11760","2","3","2","1"
"N5H","-0.615364054074474573066126013724","0.201123067049245754940736119775","0.196370374322893758842794759825","-0.158745806177057811564254522770","12824","1","3","2","1"
"N5L","0.139658596563302896498905908096","-0.256086692959105207221006564551","0.333864190211407175164113785558","-0.956086540141686664660831509847","1828","2","3","2","1"
"N5P","0.061385799167004118163331330591","-0.040479187050910018990617923002","-0.126457094970896174061099043305","-0.313858676357205184692887183990","21637","2","3","2","1"
"N5R","-0.001762367124700224296384231093","-0.165946853289236959845179799179","0.093132694134722116276401048622","-0.370970728235935334995300984320","20217","2","3","2","1"
"N5V","-0.217611063270705907487739946756","0.231630451493098950460978001962","-0.398982042300707186731119518005","0.221109911185991676132828919714","35685","2","3","1","2"
"N5W","0.447958038597142210787448700410","0.614696690194867193418262653899","0.010641823506482192030608755130","-0.350607826029534175709644322845","23392","3","4","2","1"
"N5X","-0.216972605704069330939141180105","-0.969460648225047672150139017609","-0.123317702432701076235712079086","0.169230138152810107213469261662","25896","2","2","2","2"
